# How often are certificates being renewed. Get amount, the first and last month of the not_before for grouped certificates.

+------+----------------+---------------+-------+
|interv|first_year_month|last_year_month|count  |
|3     |202001          |202003         |2151   |
|9     |201902          |201911         |2140   |
|6     |201908          |202001         |2120   |
|8     |201907          |202005         |2103   |
|4     |201912          |202004         |2099   |
|3     |201908          |201910         |2086   |
|10    |201903          |201911         |2030   |
|9     |201902          |201910         |2024   |
|4     |202001          |202005         |2002   |
|5     |201904          |201909         |2002   |
|7     |201907          |202001         |1984   |
|3     |201903          |202006         |1980   |
|5     |201910          |202004         |1967   |
|3     |201906          |201908         |1967   |
|5     |201907          |201912         |1957   |
|5     |201912          |202005         |1955   |
|4     |201906          |201910         |1947   |
|7     |201909          |202005         |1946   |
|2     |201908          |202006         |1939   |
|9     |201905          |202001         |1932   |
|7     |201908          |202002         |1913   |
|8     |201906          |202003         |1860   |
|9     |201905          |202003         |1855   |
|11    |201904          |202002         |1850   |
|2     |202005          |202006         |1847   |
|6     |201904          |201911         |1839   |
|10    |201904          |202001         |1839   |
|2     |201905          |202004         |1827   |
|8     |201906          |202001         |1824   |
|11    |201903          |202004         |1816   |
|9     |201906          |202002         |1803   |
|4     |201912          |202003         |1802   |
|8     |201907          |202002         |1794   |
|10    |201905          |202002         |1778   |
|10    |201905          |202005         |1771   |
|4     |201905          |202006         |1767   |
|8     |201904          |201912         |1717   |
|10    |201904          |202003         |1706   |
|5     |201905          |201911         |1698   |
|8     |201905          |202001         |1692   |
|13    |201903          |202004         |1662   |
|3     |201909          |201911         |1652   |
|4     |201907          |201911         |1638   |
|9     |201905          |202002         |1637   |
|11    |201904          |202005         |1615   |
|12    |201903          |202004         |1591   |
|3     |202003          |202005         |1577   |
|9     |201906          |202005         |1569   |
|7     |201906          |202001         |1565   |
|7     |201907          |202002         |1564   |
|5     |201903          |201907         |1561   |
|9     |201904          |202001         |1549   |
|6     |201909          |202003         |1520   |
|7     |201905          |201912         |1500   |
|4     |201909          |201912         |1486   |
|6     |201904          |201910         |1473   |
|6     |201902          |201907         |1467   |
|7     |201902          |201908         |1455   |
|8     |201903          |201910         |1439   |
|7     |201906          |202004         |1406   |
|6     |201908          |202004         |1380   |
|3     |201907          |202006         |1373   |
|6     |201903          |201908         |1373   |
|12    |201902          |202006         |1373   |
|8     |201903          |201911         |1366   |
|5     |201905          |201910         |1360   |
|8     |201902          |201909         |1326   |
|5     |201911          |202003         |1318   |
|13    |201902          |202006         |1310   |
|9     |201903          |201911         |1288   |
|14    |201903          |202005         |1285   |
|5     |201911          |202004         |1285   |
|10    |201902          |201911         |1274   |
|6     |201906          |201912         |1261   |
|10    |201904          |202002         |1247   |
|6     |201911          |202005         |1238   |
|4     |201905          |201908         |1220   |
|8     |201908          |202005         |1200   |
|8     |201906          |202002         |1196   |
|11    |201905          |202005         |1194   |
|13    |201903          |202003         |1173   |
|2     |201904          |202006         |1170   |
|9     |201907          |202005         |1164   |
|4     |201907          |201910         |1154   |
|4     |201904          |201907         |1154   |
|10    |201903          |201912         |1144   |
|2     |201909          |202006         |1141   |
|11    |201903          |202006         |1120   |
|3     |201902          |202006         |1110   |
|3     |201905          |202006         |1087   |
|10    |201906          |202005         |1076   |
|7     |201908          |202003         |1068   |
|3     |202003          |202006         |1065   |
|7     |201903          |201909         |1025   |
|9     |201904          |202004         |1014   |
|12    |201904          |202005         |982    |
|6     |201909          |202004         |982    |
|16    |201902          |202006         |939    |
|8     |201905          |202006         |929    |
|2     |201903          |202006         |892    |
|7     |201907          |202004         |891    |
|5     |201905          |201909         |887    |
|8     |201909          |202005         |886    |
|8     |201905          |202004         |872    |
|5     |201908          |201912         |861    |
|6     |201905          |201911         |859    |
|4     |201906          |201909         |856    |
|10    |201905          |202003         |852    |
|6     |201910          |202004         |849    |
|8     |201907          |202003         |841    |
|13    |201903          |202006         |827    |
|7     |201904          |201911         |811    |
|14    |201902          |202006         |808    |
|12    |201903          |202006         |807    |
|14    |201902          |202004         |805    |
|6     |201909          |202006         |790    |
|5     |201911          |202006         |786    |
|2     |201907          |202006         |774    |
|7     |201910          |202005         |770    |
|9     |201906          |202003         |764    |
|7     |201907          |202006         |736    |
|2     |201905          |202006         |736    |
|11    |201904          |202003         |733    |
|5     |201906          |201911         |729    |
|9     |201904          |202006         |711    |
|2     |201902          |202006         |705    |
|4     |201908          |201911         |678    |
|14    |201902          |202003         |662    |
|7     |201909          |202004         |659    |
|3     |202002          |202004         |654    |
|8     |201906          |202004         |647    |
|5     |201912          |202006         |645    |
|6     |201910          |202003         |631    |
|5     |201904          |201908         |614    |
|10    |201905          |202004         |593    |
|6     |201907          |201912         |572    |
|6     |201910          |202006         |569    |
|7     |201908          |202004         |567    |
|5     |201906          |201910         |563    |
|9     |201905          |202004         |549    |
|6     |201905          |201910         |536    |
|15    |201902          |202006         |526    |
|6     |201904          |201909         |521    |
|4     |202001          |202006         |501    |
|7     |201904          |201910         |497    |
|10    |201904          |202004         |496    |
|11    |201905          |202004         |477    |
|16    |201902          |202005         |474    |
|7     |201909          |202003         |467    |
|14    |201903          |202006         |460    |
|8     |201907          |202004         |452    |
|8     |201908          |202004         |428    |
|9     |201907          |202004         |424    |
|10    |201907          |202005         |421    |
|5     |201907          |201911         |421    |
|15    |201902          |202004         |418    |
|6     |201912          |202006         |418    |
|7     |201906          |201912         |407    |
|10    |201904          |202006         |407    |
|5     |201912          |202004         |406    |
|9     |201906          |202004         |406    |
|7     |201908          |202006         |395    |
|9     |201908          |202005         |392    |
|9     |201907          |202003         |391    |
|12    |201905          |202005         |379    |
|10    |201906          |202004         |369    |
|10    |201906          |202003         |367    |
|11    |201906          |202005         |359    |
|8     |201906          |202006         |357    |
|6     |201912          |202005         |354    |
|12    |201904          |202004         |353    |
|8     |201908          |202003         |345    |
|11    |201904          |202001         |344    |
|6     |201906          |201911         |342    |
